Arrondissement,Latitude,Longitude
75001,48.861609, 2.338133
75002,48.868410, 2.342611
75003,48.862497, 2.360443
75004,48.854311, 2.357587
75005,48.844174, 2.350342
75006,48.849163, 2.332991
75007,48.855934, 2.312556
75008,48.873009, 2.312386
75009,48.876715, 2.337441
75010,48.876186, 2.361030
75011,48.858686, 2.378928
75012,48.841325, 2.387743
75013,48.829441, 2.364322
75014,48.830623, 2.326523
75015,48.840868, 2.295719
75016,48.855468, 2.269712
75017,48.887874, 2.306850
75018,48.892437, 2.348266
75019,48.886271, 2.386479
75020,48.862384, 2.401744